ID,date,time,distance,duration,speed,net.opening.diameter,sample.volume
CBPT1,2026-06-18,9:16,143,301,0.475083056,0.53,31548.42321
CBPT2,2027-06-18,9:15,116,301,0.38538206,0.53,25591.72792
CBPT3,2028-06-18,9:31,121,301,0.401993355,0.53,26694.81964
CBPT4,2029-06-18,10:01,112,301,0.372093023,0.53,24709.25454
CBPT5,2004-07-18,13:53,114,304,0.375,0.53,25150.49123
EBPT1,2013-07-18,9:39,116,333,0.348348348,0.53,25591.72792
EBPT2,2014-07-18,10:20,117,303,0.386138614,0.53,25812.34626
EBPT3,2018-07-18,16:24,107,300,0.356666667,0.53,23606.16282
EBPT4,2025-07-18,9:18,106,305,0.347540984,0.53,23385.54447
EBPT5,2026-07-18,10:02,112,300,0.373333333,0.53,24709.25454
HPPT1,,,67,,,0.53,14781.42905
HPPT2,,,67,,,0.53,14781.42905
HPPT3,,,67,,,0.53,14781.42905
HPPT4,,,67,,,0.53,14781.42905
HPPT5,,,67,,,0.53,14781.42905
