,,Coles Bay,,,,,Elliot Beach,,,,,Victoria Harbour,,,,
Species,Site,Range,Mean,Wet Body Wet Range (g),Wet Body Weight Mean (g),Sample Size,Range,Mean,Wet Body Wet Range (g),Wet Body Weight Mean (g),Sample Size,Range,Mean,Wet Body Wet Range (g),Wet Body Weight Mean (g),Sample Size
Cancer productus,,,,,,,,,,,,,,,,
Cucumeria miniata,,-,-,-,-,-,-,-,1.5-54.1,22.9,14,,,,,
Cymatogaster aggregata,Coles Bay,7.8-9.2 cm total length,8.5,5.6-9.6 ,8,16,8.1-10.0 cm total length,9.3,7.0-15.0,10,16,,,,,
Dermasterias imbricata,Coles Bay,10.2-15.4 cm diameter,12.4,31.9-120.2,60.5,16,10.2-15.6 cm diameter,12.8,37.1-123.7,77.7,15,,,,,
Metacarcinus gracilis,Coles Bay,6.1-8.1 cm carapace length,7,30.1-94.9,57.5,16,,,,,,,,,,
Metacarcinus magister,-,-,-,-,-,-,7.0-9.2 cm carapace length,8.1,45.1-116.5,69.3,16,,,,,
Mytilus spp.,Coles Bay,1.3-2.4  cm shell length,1.9,0.3-1.8,0.8,19,1.0-2.9 cm shell length,1.6,0.2-0.7,0.4,13,,,,,
Parastichopus californicus,Coles Bay,-,-,2.7-40.9,14.3,14,NA,NA,NA,4,1,,,,,
Parophrys vetulus,Coles Bay,11.6-15.6 cm total length,13.5,13.2-50.2,26.8,11,-,-,-,-,-,,,,,
Platichthys stellatus,Coles Bay,14.5-18.3 cm total length,16,20.6-66.7,38.6,4,-,-,-,-,-,,,,,
Protothaca staminea,Coles Bay,2.1 cm shell length,2.1,NA,2.8,1,-,-,-,-,-,,,,,
Ruditapes philippinarum,Coles Bay,1.3-2.6 cm shell length,2,1.0-3.7,2.1,12,0.9-2.3 cm shell length,1.7,0.2-3.4,1.6,12,,,,,
Sebastes caurinus,Coles Bay,11.3-25.0 cm total length,14.9,21.2-243.2,69.2,10,13.2-31.2 cm total length,21.7,55.8-572.1,191.4,18,,,,,
Sebastes melanops,-,-,-,-,-,-,18.5-22.4 cm total length,20.7,110.4-169.4,138.9,3,,,,,
Cancer productus,Victoria Harbour,8.0-9.9 cm carapace length,9.1,59.5-114.1,59.5-114.1,3,,,,,,,,,,
Cucumeria miniata,Victoria Harbour,NA,NA,NA,3.3-96.7,16,,,,,,,,,,
Cymatogaster aggregata,Victoria Harbour,6.1-7.8 cm total length,6.9,2.8-12.8,4.7,17,,,,,,,,,,
Metacarcinus magister,Victoria Harbour,7.1-10.8 cm carapace length,8.3,54.8-149.1,77.5,12,,,,,,,,,,
Mytilus spp.,Victoria Harbour,0.9-1.6 cm shell length,1.2,0.1-0.5,0.3,14,,,,,,,,,,
Sebastes caurinus,Victoria Harbour,19.2-31.2 cm total length,25.6,123.9-479.4,294,13,,,,,,,,,,
Sebastes melanops,Victoria Harbour,16.5-22.3 cm total length,20.1,75.2-166.4,123.2,8,,,,,,,,,,
